137 	Kenneth Faried 	PF 	24 	DEN 	52 	49 	25.2 	4.6 	8.4 	.546 	0.0 	0.1 	.000 	4.6 	8.3 	.550 	1.8 	2.9 	.607 	2.8 	4.8 	7.5 	1.0 	0.8 	0.9 	1.3 	2.3 	10.9
138 	Jordan Farmar 	PG 	27 	LAL 	25 	5 	21.4 	3.5 	8.4 	.414 	1.4 	3.3 	.410 	2.1 	5.1 	.417 	0.9 	1.2 	.733 	0.7 	2.4 	3.2 	4.8 	0.7 	0.2 	2.4 	1.5 	9.2
140 	Derrick Favors 	PF 	22 	UTA 	46 	46 	30.4 	5.1 	10.2 	.504 	0.0 	0.0 	.000 	5.1 	10.2 	.505 	2.6 	3.9 	.667 	2.7 	6.3 	9.0 	1.1 	1.0 	1.4 	1.8 	3.1 	12.9
142 	Raymond Felton 	PG 	29 	NYK 	40 	40 	32.8 	4.2 	10.4 	.400 	1.0 	3.3 	.288 	3.2 	7.1 	.452 	1.2 	1.7 	.706 	0.9 	2.2 	3.0 	6.0 	1.0 	0.5 	2.1 	2.5 	10.5
144 	Derek Fisher 	SG 	39 	OKC 	55 	0 	16.3 	1.7 	4.2 	.394 	1.0 	2.6 	.376 	0.7 	1.6 	.422 	0.7 	0.8 	.818 	0.2 	1.3 	1.4 	1.4 	0.7 	0.0 	0.6 	1.7 	4.9
145 	Evan Fournier 	SG 	21 	DEN 	48 	2 	17.0 	2.7 	6.5 	.412 	1.0 	2.6 	.395 	1.6 	3.9 	.422 	0.8 	1.2 	.690 	0.5 	2.0 	2.5 	1.1 	0.4 	0.1 	1.3 	2.1 	7.2
146 	Randy Foye 	SG 	30 	DEN 	53 	50 	28.3 	4.0 	9.9 	.405 	2.1 	5.6 	.368 	1.9 	4.3 	.454 	1.8 	2.0 	.869 	0.3 	2.2 	2.5 	3.2 	0.7 	0.5 	1.7 	2.5 	11.9
150 	Channing Frye 	PF 	30 	PHO 	54 	54 	29.0 	4.6 	10.1 	.453 	2.3 	5.6 	.404 	2.3 	4.5 	.514 	1.0 	1.3 	.783 	0.9 	4.5 	5.4 	1.2 	0.8 	0.8 	1.1 	3.1 	12.4
151 	Francisco Garcia 	SF 	32 	HOU 	43 	4 	20.0 	2.1 	5.4 	.393 	1.3 	3.8 	.352 	0.8 	1.6 	.493 	0.2 	0.4 	.588 	0.4 	1.9 	2.3 	1.1 	0.6 	0.7 	0.6 	2.0 	5.9
152 	Kevin Garnett 	C 	37 	BRK 	47 	47 	21.3 	3.0 	7.0 	.436 	0.0 	0.1 	.000 	3.0 	6.9 	.440 	0.7 	0.9 	.850 	1.1 	5.7 	6.7 	1.5 	0.8 	0.8 	1.3 	2.4 	6.8
